
str_yes|Si.
str_npc15_morality_speech|Puoi pensare che Bolzog il Grande può curare tutto, {playername}, ma anche io ho i miei limiti ! Se continui a {s21} anche il mio talento avrà difficoltà ! Devi darmi una mano ! Non posso far risorgere i morti, se muoiono o vengono fatti a pezzi !
str_npc1_2ary_morality_speech|Comandante, mi hanno cresciuto come Dúnadan, sia nel valore che nell'onore. Preferirei che noi non {s21}.
str_npc4_2ary_morality_speech|Chiedo scusa, comandante. Le donne del mio rango possono accettare la morte, ma non il disonore. Che {s21} porta la vergogna alla mia casata e ai miei antenati.
str_npc15_2ary_morality_speech|Hi-hi-hi ! Sei furbo, mio Signore ! Hai preso l'oro e annuendo hai detto 'si padrone'.. Ma per tutto il tempo hai progettato questo ! Hi-Hi ! Solo, dobbiamo fare attenzione, che il Grande Capo non si accorga che l'hai ingannato..
str_npc1_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc2_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc3_personalityclash_speech|Comandante, quindi ci ritroviamo con {s11} nella nostra compagnia ? È piuttosto agile a piedi, lo riconosco, ma parla troppo spesso di fare imboscate per i miei gusti - non si accorda con la natura cauta del suo popolo.
str_npc4_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc5_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc6_personalityclash_speech|{playername}, ho appena visto {s11} camminare sfacciatamente sopra al nido di uccelli appena nati. La sua goffaggine ha distrutto le vite di quelle creature innocenti.
str_npc7_personalityclash_speech|Signore, {s11} si comporta bene in battaglia, ma mi chiedo: acceca il nemico con i riflessi dei suoi capelli ? O cadono nel timore della sua fama o di fronte alla forza della sua presunzione ?
str_npc8_personalityclash_speech|Comandante, devo presentare un reclamo contro {s11}. Continua ad importunarmi perché gli faccia una certa bevanda chiamata 'la Fata Verde'.
str_npc9_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc10_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc11_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc12_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc13_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc14_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc15_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc16_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc17_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc1_personalityclash_speech_b|Io odio {s11}.
str_npc2_personalityclash_speech_b|Io odio {s11}.
str_npc3_personalityclash_speech_b|Non ho alcuna disputa con le genti di Gondor, ma potremmo cavarcela meglio con cavalieri più coraggiosi e meno timorosi di sporcarsi di fango, non so se mi spiego.
str_npc4_personalityclash_speech_b|Io odio {s11}.
str_npc5_personalityclash_speech_b|Io odio {s11}.
str_npc6_personalityclash_speech_b|I suoi modi nanici possono essergli utili sottoterra, anche se è un miracolo che non sia caduto in un brutto pozzo. Forse avrebbe dovuto.
str_npc7_personalityclash_speech_b|Ci sarebbe più utile un eroe dei nani, qualcuno come Durin l'immortale dei tempi che furono, per far sì che gli elfi si pavoneggino nelle loro foreste.
str_npc8_personalityclash_speech_b|Viene ricavato dall'assenzio maggiore che viene immerso nel liquore e a quanto pare è apprezzata dai menestrelli e dai vagabondi per vedere cose che non ci sono. Dubito che gradiresti vedere i tuoi soldati inseguire cose per aria sul campo di battaglia, anche se sarebbe molto divertente da vedere.
str_npc9_personalityclash_speech_b|Io odio {s11}.
str_npc10_personalityclash_speech_b|Io odio {s11}.
str_npc11_personalityclash_speech_b|Io odio {s11}.
str_npc12_personalityclash_speech_b|Io odio {s11}.
str_npc13_personalityclash_speech_b|Io odio {s11}.
str_npc14_personalityclash_speech_b|Io odio {s11}.
str_npc15_personalityclash_speech_b|Io odio {s11}.
str_npc16_personalityclash_speech_b|Io odio {s11}.
str_npc17_personalityclash_speech_b|Io odio {s11}.
str_npc1_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc2_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc3_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc4_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc5_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc6_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc7_personalityclash2_speech|Proprio un bella zuffa, eh capitano ? Anche se leggermente rovinata dalla condotta di quella donna Elfo {s11}.
str_npc8_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc9_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc10_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc11_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc12_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc13_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc14_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc15_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc16_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc17_personalityclash2_speech|Ho già detto che odio {s11} ?
str_npc1_personalityclash2_speech_b|Io odio {s11}.
str_npc2_personalityclash2_speech_b|Io odio {s11}.
str_npc3_personalityclash2_speech_b|Io odio {s11}.
str_npc4_personalityclash2_speech_b|Io odio {s11}.
str_npc5_personalityclash2_speech_b|Io odio {s11}.
str_npc6_personalityclash2_speech_b|Io odio {s11}.
str_npc7_personalityclash2_speech_b|Ho visto quella codarda nelle retrovie, scagliare a malapena una freccia o due a casaccio contro il nemico. Ho detto 'lasciatela andare affinché si prenda cura degli uccelli e delle api, così noi potremo continuare con il maledetto compito di trucidare i nemici'.
str_npc8_personalityclash2_speech_b|Io odio {s11}.
str_npc9_personalityclash2_speech_b|Io odio {s11}.
str_npc10_personalityclash2_speech_b|Io odio {s11}.
str_npc11_personalityclash2_speech_b|Io odio {s11}.
str_npc12_personalityclash2_speech_b|Io odio {s11}.
str_npc13_personalityclash2_speech_b|Io odio {s11}.
str_npc14_personalityclash2_speech_b|Io odio {s11}.
str_npc15_personalityclash2_speech_b|Io odio {s11}.
str_npc16_personalityclash2_speech_b|Io odio {s11}.
str_npc17_personalityclash2_speech_b|Io odio {s11}.
str_npc1_personalitymatch_speech|Hai notato la grazia di {s11} durante l'ultima battaglia ? Il modo in cui si muove attorno al nemico appena prima di scagliare il colpo di grazia ? È come nelle storie degli antichi, in cui le fanciulle elfiche mostravano tanto portamento sul campo di battaglia come nelle loro bellissime dimore nelle foreste.
str_npc2_personalitymatch_speech|Mi scusi, comandante. Stavo solo aiutando {s11} in alcune piccole riparazioni dopo l'ultima scaramuccia, e ha promesso anche che mi insegnerà a migliorare i miei colpi.
str_npc3_personalitymatch_speech|Non è forse uno spettacolo inusuale vedere una fanciulla scudiera di Rohan caricare a tutta forza ? Certamente lo è, le nostre donne sono meglio accanto al focolare, ma dopo aver visto {s11} abbattere il nemico nell'ultima battaglia, comincio ad avere dei dubbi.
str_npc4_personalitymatch_speech|Una battaglia con grandi gesta, comandante, le faccio le mie congratulazioni per la vittoria. Ho notato la fermezza e la calma con cui {s11} si è presa cura dei feriti e degli afflitti, e anche come anche l'ultimo dei nemici abbia avuto ciò che si meritava. 
str_npc5_personalitymatch_speech|Ho già detto che mi piace {s11} ?
str_npc6_personalitymatch_speech|{playername}, per quanto io detesti le battaglie, non ho potuto fare a meno di notare il mio Signore {s11} cavalcare in pieno splendore e avventarsi sulle orribili creature come un falco.
str_npc7_personalitymatch_speech|Insanguinato e vittorioso, proprio come piace a me ! Tuttavia, ho subito una ferita che {s11} ha gentilmente provveduto a bendare prontamente.  
str_npc8_personalitymatch_speech|Un'altra vittoria per te, comandante, e ammiro la tua abilità nel risparmiare le vite dei nostri uomini. Guerrieri come {s11} sembrano essere di grande aiuto nei tuoi piani di battaglia.
str_npc9_personalitymatch_speech|Ho già detto che mi piace {s11} ?
str_npc10_personalitymatch_speech|Ho già detto che mi piace {s11} ?
str_npc11_personalitymatch_speech|Ho già detto che mi piace {s11} ?
str_npc12_personalitymatch_speech|Ho già detto che mi piace {s11} ?
str_npc13_personalitymatch_speech|Ho già detto che mi piace {s11} ?
str_npc14_personalitymatch_speech|Ho già detto che mi piace {s11} ?
str_npc15_personalitymatch_speech|Ho già detto che mi piace {s11} ?
str_npc16_personalitymatch_speech|Ho già detto che mi piace {s11} ?
str_npc17_personalitymatch_speech|Umm, capo. Penso che {s11} possa cavarsela bene nei boschi. Sa distinguere un frassino da un salice.
str_npc1_personalitymatch_speech_b|Ho trovato la compagnia di {s11} molto gradevole e che il loro legno nativo sia un raro scorcio di ciò che rimane delle abilità dei Sindarin nel mondo. Sai, mio padre mi ha chiamato dopo il leggendario capitano degli Elfi Sindarin al servizio di Re Thingol di Doriath e io ho sempre percepito un legame speciale verso l'antica razza.
str_npc2_personalitymatch_speech_b|I miei mi raccontavano sempre storie sui Raminghi dell'Ithilien e ora posso vedere da me che sono tutte vere. Se tutte lo sono {s11}, sento che Gondor è più al sicuro.
str_npc3_personalitymatch_speech_b|Comandante, come favore personale, posso chiederti di ordinare a {s11} di rimanere più vicino alla retroguardia, nella prossima battaglia ? Non sopporterei di vederla ferita, e non è la birra che parla.
str_npc4_personalitymatch_speech_b|Salvare vite è l'atto più nobile che ci sia, e mi sento affine a quell'anima gentile, benché i nostri mondi siano distanti tra loro.
str_npc5_personalitymatch_speech_b|Mi piace {s11}.
str_npc6_personalitymatch_speech_b|Pensavo a quanto fosse vecchio.  Forse una dozzina di secoli più di me ? Non importa, tu non capiresti.
str_npc7_personalitymatch_speech_b|{s11} e i combattenti di Dale, sebbene non possano essere considerati allo stesso livello dei guerrieri nani, stanno dimostrando di essere un valido aiuto in questa guerra. Se posso permettermi, credo che siano, fra gli umani, una buona scelta sia come amici che come alleati.
str_npc8_personalitymatch_speech_b|Come amici e protettori, la gente di Dale ha una profonda considerazione per il popolo dei Nani che vive nella Montagna Solitaria, nonostante la differenza di razza, usi e costumi.
str_npc9_personalitymatch_speech_b|Mi piace {s11}.
str_npc10_personalitymatch_speech_b|Mi piace {s11}.
str_npc11_personalitymatch_speech_b|Mi piace {s11}.
str_npc12_personalitymatch_speech_b|Mi piace {s11}.
str_npc13_personalitymatch_speech_b|Mi piace {s11}.
str_npc14_personalitymatch_speech_b|Mi piace {s11}.
str_npc15_personalitymatch_speech_b|Mi piace {s11}.
str_npc16_personalitymatch_speech_b|Mi piace {s11}.
str_npc17_personalitymatch_speech_b|La mia gente va d' accordo con gli elfi silvani. A loro piacciono gli alberi. A me piacciono gli alberi. Tutti noi amiamo gli alberi.
str_npc1_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc2_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc3_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc4_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc5_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc6_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc7_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc8_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc9_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc10_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc11_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc12_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc13_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc14_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc15_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc16_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc17_retirement_speech|Sto diventando un pò stanco della vita del guerriero, mi ritirerò.
str_npc1_rehire_speech|È bello rivederla capitano ! Posso riunirmi al tuo esercito un' altra volta ?
str_npc2_rehire_speech|Salve comandante ! Potrei riunirmi al tuo esercito ?
str_npc3_rehire_speech|Ho ! Dobbiamo nuovamente cavalcare assieme ?
str_npc4_rehire_speech|Bentornato. Riprendiamo da dove c'eravamo lasciati ?
str_npc5_rehire_speech|È bello ritrovarti, {playername}. Viaggiamo di nuovo assieme.
str_npc6_rehire_speech|È bello rivederti, {playername}. Proseguiamo insieme il cammino.
str_npc7_rehire_speech|La mia ascia è pronta, {playername}. Devo riunirmi al tuo esercito ?
str_npc8_rehire_speech|Qual buon vento ti porta? Devo riunirmi al tuo esercito ?
str_npc9_rehire_speech|Gulm è di nuovo pronto ad uccidere per te. Stiamo partendo ?
str_npc10_rehire_speech|Posso servirti ancora una volta ?
str_npc11_rehire_speech|Posso servirti ancora una volta ?
str_npc12_rehire_speech|Posso servirti ancora una volta ?
str_npc13_rehire_speech|Posso servirti ancora una volta ?
str_npc14_rehire_speech|Posso servirti ancora una volta ?
str_npc15_rehire_speech|Aah, Gran Signore ! Ti ho cercato molto a lungo, mentre le voci delle tue gloriose imprese circolavano per la Terra di Mezzo ! Sicuramente hai sentito la mancanza delle mie abilità ? Mi accoglierai ancora una volta per completare il tuo Grande Esercito ?
str_npc16_rehire_speech|Posso servirti ancora una volta ?
str_npc17_rehire_speech|Hey. Tempo di rimettersi in marcia ? Gli alberi non si muovono tanto. Mi piace marciare, ma mi piacciono anche gli alberi.
str_npc1_home_intro|Capitano, ci stiamo avvicinando ad Osgiliath, cerchiamo quindi di distinguere correttamente gli amici dai nemici.
str_npc2_home_intro|Sii vigile comandante, quella dovrebbe essere Minas Morgul. Non senti qualcosa che ci sta osservando ?
