qstr_Received_{reg0}_dama|Отримано {reg0} шкоди.
; qstr_Harr_harr_harr!_You_|Harr harr harr! You don't frighten ME! Next time it's YOU that we eat!
; qstr_One_{s6}_left_the_pa|One {s6} left the party.
; qstr_I_understand._I_will|I understand. I will stay with you. For a while.
; qstr_I_have_played_my_rol|I have played my role for many long years, for many lifetimes of mortal men. This war is for Mankind to fight. I will leave for the West and some may decide to follow me.
; qstr_{reg1}_Veteran_Elves|{reg1} Veteran Elves decided to leave your party.
; qstr_What_an_amazing_feat|What an amazing feat of arms!
; qstr_Well_done!|Well done!
; qstr_Nice_legwork.|Nice legwork.
; qstr_Heh.|Heh.
; qstr_Good_moves_but_you_m|Good moves, but you may still need some work to do.
; qstr_More_than_half_of_th|More than half of the opponents, not bad.
; qstr_You_ll_need_to_try_h|You'll need to try harder than that.
; qstr_Well..._better_here_|Well... better here than in combat, eh?
; qstr_We_ve_been_sent_by_{|We've been sent by {s3}. We have come to join our strength to yours.
; qstr_{s3}_has_sent_us_to_|{s3} has sent us, to join the fleet attacking {s4}.
; qstr_Excellent_{playernam|Excellent, {playername}! I heard that you gave them more than what I requested. That is great work.^^ Here, take this as an extra reward for exceeding our expectations. ^^ We need to win this war as soon as possible.
; qstr_Excellent_{playername|Excellent, {playername}. That will surely help them out. We need to win this war as soon as possible.
; qstr_Reinforcing_{s1}_has|Reinforcing {s1} has strengthened {s2}. ({s2} has gained {reg50} faction strength).
; qstr_The_watchmen_in_the_|The watchmen in the city have reported a remarkable decrease in ambushes. You have done your job well. Thank you, {playername}.
; qstr_Our_guards_have_seen|Our guards have seen the vermin run away with their tails tucked between their legs. You have done well in showing these pests that we control this area.
; qstr_It_was_nothing._I_wi|It was nothing. I will keep watch should they resurface.
; qstr_Slaying_these_maggot|Slaying these maggots was nothing. I'll keep watch should they become bold again.
; qstr_town|town
; qstr_village|village
; qstr_The_{s9}_of_{s13}_ha|The {s9} of {s13} has asked you to deal with tribal orcs in the surrounding countryside.
; qstr_{s9}_of_{s3}_asked_y|{s9} of {s3} asked you to deliver {reg5} units of {s6} to the {s10} in {s4} in {reg6} days.
; qstr_The_{s9}_of_{s4}_ask|The {s9} of {s4} asked you to reinforce {s3} with at least {reg5} troops within {reg6} days. Speak to {s3}'s barracks master. The quality of the troop you provide does not matter.
; qstr_You_have_reinforced_{|You have reinforced {s3} with 0 troops.
; qstr_Thank_you_for_offeri|Thank you for offering to help, {playername}.^^The caravans going to and fro the city have been attacked multiple times by {s6}. They are getting bolder with every ambush, and are moving closer and closer to the city.
; qstr_Good_of_you_to_ask_{|Good of you to ask, {playername}.^^There are {s6} moving about the area, thinking that they are in charge. No one is doing anything so they are getting bolder and are taking what is rightfully ours.
; qstr_The_people_have_aske|The people have asked for help in slaying at least {reg22} {s6}, in hopes that this will keep them away for some time.^^Would you be able to do this?
; qstr_I_want_you_to_slay_a|I want you to slay at least {reg22} {s6}, to show those weaklings that they are inconsequential.^^What do you say?
; qstr_We_will_get_rid_of_t|We will get rid of these pests.
; qstr_{s9}_wants_you_to_sl|{s9} wants you to slay {reg22} {s6} in battles.
; qstr_The_{s9}_of_{s3}_ask|The {s9} of {s3} asked you to bring him {reg5} units of food in {reg6} days.
; qstr_The_{s9}_of_{s3}_aske|The {s9} of {s3} asked you to bring him {reg5} units of {s6} in {reg0} days.
; qstr_Escort_the_supply_tr|Escort the supply train to {s8}.
qstr_The_{s9}_of_{s4}_aske|{s9} з {s4} попросив вас знищити небезпечну банду гоблінів в околицях міста.
; qstr_The_{s9}_of_{s14}_ha|The {s9} of {s14} has asked you to deal with a group of bandits making trouble in {s14}. They only come out at night, and only attack lone people on the streets.
; qstr_refugees|refugees
; qstr_slaves|slaves
; qstr_{s1}_Refugees|{s1} Refugees
; qstr_{s1}_Slaves|{s1} Slaves
; qstr_The_{s11}_of_{s10}_a|The {s11} of {s10} asked you to escort some {s12} to {s13}.
; qstr__Guards_slaughter_hi| Guards, slaughter him!
; qstr_Slaughter_him_for_fr|Slaughter him for fresh human meat!
; qstr_This_is_{s5}_Command|This is {s5}, Commander.
; qstr_{s6}_This_place_and_|{s6} This place and the surrounding lands belong to {s7} of {s8}.
; qstr_Hey_scum!_I_can_fix_|Hey scum! I can fix that jaw of yours.
; qstr_Watch_where_you_re_g|Watch where you're going, maggot!
; qstr_I_don_t_like_your_fa|I don't like your face! I think it needs some fixing.
; qstr_What_are_you_looking|What are you looking at? WHAT?
; qstr_the_white_hand|the white hand
; qstr_the_lidless_eye|the lidless eye
; qstr_I_have_some_of_your_|I have some of your people with me. I'll let them join you, to help your cause.
; qstr_Some_of_your_stinky_|Some of your stinky kin are with me. I'm sure they'd rather go with you.
; qstr_{s4}_It_is_always_go|{s4} It is always good to see one of our own.
; qstr_a_nearby_town|a nearby town
; qstr_that_town_over_there|that town over there
; qstr_{s4}^We_are_from_{s1|{s4}^We are from {s11}, scouting in the direction of {s12}.
; qstr_{s4}^We_are_{reg1?fo|{s4}^We are {reg1?foraging:raiding} around {s11}.
; qstr_{s4}^We_are_patrolli|{s4}^We are patrolling around {s11}.
; qstr_{s4}^We_are_carrying|{s4}^We are carrying supplies from {s11} to {s12}.
; qstr_{s4}^We_are_escortin|{s4}^We are escorting prisoners to {s12}.
; qstr_Greetings_do_you_nee|Greetings, do you need reinforcements?
; qstr_I_will_need_your_hel|I will need your help, please follow me. [Costs {reg1}/{reg2} influence]
; qstr_You_and_your_men_mus|You and your men must follow me. [Costs {reg1}/{reg2} influence]
; qstr_It_looks_like_you_ha|It looks like you have too many followers already.
; qstr_Why_do_you_need_us?_|Why do you need us? You have all you need following you already!
; qstr_We_will_follow_you_t|We will follow you, though we cannot wander too far.
; qstr_If_there_is_killing_|If there is killing, we will follow. But we cannot go too far, or we will get in trouble.
; qstr_We_cannot_leave_our_|We cannot leave our post to follow you for now. [Not enough influence points (Requires {reg1})]
; qstr_Who_are_you_to_comma|Who are you to command us? [Not enough influence points (Requires {reg1})]
; qstr_Then_let_us_go._Stay|Then let us go. Stay close. I will need you soon.
; qstr_There_will_be_blood_|There will be blood, that is for sure. Stay close, or miss out.
; qstr_Goodbye_friends.|Goodbye, friends.
; qstr_See_you_later_if_you|See you later if you don't get killed.
; qstr_I_don_t_need_your_he|I don't need your help any longer. Go home.
; qstr_I_don_t_have_any_nee|I don't have any need for you. Get lost.
; qstr_We_will_return_to_ou|We will return to our previous task. Goodbye.
; qstr_Lads_we_re_going_hom|Lads, we're going home!
; qstr__^Oh_and_take_back_t| ^Oh, and take back those who are not our people.
; qstr_{s31}{reg28?Those:That}_|{s31}{reg28?Those:That} brave {reg28?soldiers:soldier} will surely help us defend our lands.{s32} {s23}^^[earned {reg14} Resource Points of {s14}]
; qstr_{s31}{reg28?Those:That}_u|{s31}{reg28?Those:That} useful {reg28?troops:troop} will help us wreak more havoc.{s32}^{s23}^^[earned {reg14} Resource Points of {s14}]
qstr_Good_luck_in_your_tr|Щасливої дороги.
qstr_Try_not_getting_your|Постарайся не заколоти себе.
; qstr_You_ready_your_weapo|You ready your weapons, feeling the rush of past experience through your body. (Weapon Profeciencies and Abilities improved)
; qstr_The_previous_battle_|The previous battle warmed you up. You feel invigorated, and ready for more. (Attributes, Abilities, and Weapon Profeciencies Improved)
; qstr_You_are_tired_but_ad|You are tired, but adrenaline coursing through your veins steel you for more. (Attributes, Abilities, and Weapon Profeciencies Improved)
; qstr_These_are_great_weap|These are great weapons indeed. They feel strange to the touch... (Abilities and Weapon Profeciencies Improved)
; qstr_You_can_barely_raise|You can barely raise your weapon now... but seeing your kinsmen around you strengthen your resolve. (Abilities and Weapon Profeciencies Improved).
; qstr_With_Lord_Balin_s_tr|With Lord Balin's treasures bestowed upon you and the memory of his death fresh in your mind, your rage burns stronger. (Attributes, Abilities and Weapon Profeciencies Improved)
qstr_We_cannot_hold..._we|Ми не вистоїмо... це кінець...
qstr_You_do_not_know_how_|Ви не знаєте, скільки ще можете протриматися...
qstr_How_long_can_we_keep|Скільки ми ще зможемо триматися? Я вже не можу тримати свою сокиру. 
qstr_You_know_that_the_en|Ти ж знаєш, що кінець близько...
qstr_You...._good....dwar|Ти.... добре....гном...
qstr_You_can_no_longer_ra|Ви не можете довше піднімати зброю...
qstr_There_are_too_many..|Їх занадто багато...надто багато...
qstr_..........|..........
qstr_It_is_off_to_work_we|Ми йдемо на роботу....
qstr_Your_mind_starts_to_|Ви починаєте марити...марити про золото та скарби...
qstr_...............|...............
qstr_Sleep_sounds_good...|Міцний сон...
qstr_For_Balin!!|Для Баліна!!
qstr_For_Balin...|Для Баліна...
